,YY,MM,DD,hh,mm,WDIR,WSPD,ATMP,DEWP,VIS,Date
1,2022.0,1.0,29.0,1.0,55.0,360.0,9.8,14.0,-2.0,8.7,2022-01-29 01:55:00
2,2022.0,1.0,29.0,1.0,35.0,350.0,9.8,14.0,-2.0,8.7,2022-01-29 01:35:00
3,2022.0,1.0,29.0,1.0,15.0,350.0,10.3,14.0,-1.0,8.7,2022-01-29 01:15:00
4,2022.0,1.0,29.0,0.0,55.0,360.0,11.3,14.0,-1.0,8.7,2022-01-29 00:55:00
5,2022.0,1.0,29.0,0.0,35.0,350.0,10.3,14.0,-1.0,8.7,2022-01-29 00:35:00
6,2022.0,1.0,29.0,0.0,15.0,10.0,10.3,14.0,-1.0,8.7,2022-01-29 00:15:00
7,2022.0,1.0,28.0,23.0,55.0,10.0,10.3,14.0,-2.0,8.7,2022-01-28 23:55:00
8,2022.0,1.0,28.0,23.0,35.0,350.0,3.1,13.0,1.0,8.7,2022-01-28 23:35:00
9,2022.0,1.0,28.0,23.0,15.0,330.0,3.1,13.0,2.0,8.7,2022-01-28 23:15:00
10,2022.0,1.0,28.0,22.0,55.0,330.0,4.1,13.0,1.0,8.7,2022-01-28 22:55:00
11,2022.0,1.0,28.0,22.0,35.0,340.0,4.1,13.0,1.0,8.7,2022-01-28 22:35:00
12,2022.0,1.0,28.0,22.0,15.0,360.0,4.1,13.0,1.0,8.7,2022-01-28 22:15:00
13,2022.0,1.0,28.0,21.0,55.0,340.0,4.1,13.0,1.0,8.7,2022-01-28 21:55:00
14,2022.0,1.0,28.0,21.0,35.0,350.0,5.7,12.0,1.0,8.7,2022-01-28 21:35:00
15,2022.0,1.0,28.0,21.0,15.0,340.0,4.1,12.0,2.0,8.7,2022-01-28 21:15:00
16,2022.0,1.0,28.0,20.0,35.0,320.0,5.7,12.0,2.0,8.7,2022-01-28 20:35:00
17,2022.0,1.0,28.0,20.0,15.0,340.0,7.2,11.0,1.0,8.7,2022-01-28 20:15:00
18,2022.0,1.0,28.0,19.0,55.0,350.0,6.7,11.0,1.0,8.7,2022-01-28 19:55:00
19,2022.0,1.0,28.0,19.0,35.0,360.0,6.2,11.0,1.0,8.7,2022-01-28 19:35:00
20,2022.0,1.0,28.0,19.0,15.0,20.0,7.2,11.0,0.0,17.4,2022-01-28 19:15:00
21,2022.0,1.0,28.0,18.0,55.0,360.0,7.2,11.0,0.0,8.7,2022-01-28 18:55:00
22,2022.0,1.0,28.0,18.0,35.0,20.0,7.7,11.0,0.0,8.7,2022-01-28 18:35:00
23,2022.0,1.0,28.0,18.0,15.0,10.0,8.2,11.0,-1.0,8.7,2022-01-28 18:15:00
24,2022.0,1.0,28.0,17.0,55.0,20.0,9.3,11.0,0.0,8.7,2022-01-28 17:55:00
25,2022.0,1.0,28.0,17.0,35.0,20.0,10.3,11.0,0.0,8.7,2022-01-28 17:35:00
26,2022.0,1.0,28.0,17.0,15.0,20.0,10.8,11.0,0.0,8.7,2022-01-28 17:15:00
27,2022.0,1.0,28.0,16.0,55.0,30.0,11.8,11.0,0.0,8.7,2022-01-28 16:55:00
28,2022.0,1.0,28.0,16.0,35.0,30.0,12.4,11.0,0.0,8.7,2022-01-28 16:35:00
29,2022.0,1.0,28.0,16.0,15.0,20.0,11.3,11.0,2.0,8.7,2022-01-28 16:15:00
30,2022.0,1.0,28.0,15.0,55.0,20.0,12.9,11.0,2.0,8.7,2022-01-28 15:55:00
31,2022.0,1.0,28.0,15.0,35.0,20.0,11.8,11.0,1.0,8.7,2022-01-28 15:35:00
32,2022.0,1.0,28.0,15.0,15.0,20.0,11.8,11.0,3.0,8.7,2022-01-28 15:15:00
33,2022.0,1.0,28.0,14.0,55.0,20.0,8.8,10.0,4.0,6.1,2022-01-28 14:55:00
34,2022.0,1.0,28.0,14.0,35.0,20.0,11.3,10.0,4.0,3.5,2022-01-28 14:35:00
35,2022.0,1.0,28.0,14.0,15.0,20.0,9.8,10.0,4.0,3.5,2022-01-28 14:15:00
36,2022.0,1.0,28.0,13.0,55.0,10.0,12.4,11.0,4.0,8.7,2022-01-28 13:55:00
37,2022.0,1.0,28.0,13.0,35.0,20.0,10.3,11.0,4.0,8.7,2022-01-28 13:35:00
38,2022.0,1.0,28.0,13.0,15.0,20.0,11.8,11.0,4.0,6.1,2022-01-28 13:15:00
39,2022.0,1.0,28.0,12.0,55.0,10.0,10.3,12.0,4.0,8.7,2022-01-28 12:55:00
40,2022.0,1.0,28.0,12.0,35.0,20.0,11.8,12.0,4.0,6.1,2022-01-28 12:35:00
41,2022.0,1.0,28.0,12.0,15.0,30.0,11.8,12.0,4.0,5.2,2022-01-28 12:15:00
42,2022.0,1.0,28.0,11.0,55.0,40.0,10.3,13.0,4.0,8.7,2022-01-28 11:55:00
43,2022.0,1.0,28.0,11.0,35.0,30.0,12.4,12.0,6.0,7.8,2022-01-28 11:35:00
44,2022.0,1.0,28.0,11.0,15.0,40.0,9.8,13.0,6.0,7.8,2022-01-28 11:15:00
45,2022.0,1.0,28.0,10.0,55.0,40.0,7.7,13.0,6.0,8.7,2022-01-28 10:55:00
46,2022.0,1.0,28.0,10.0,35.0,50.0,6.7,13.0,7.0,8.7,2022-01-28 10:35:00
47,2022.0,1.0,28.0,10.0,15.0,30.0,9.3,13.0,7.0,4.3,2022-01-28 10:15:00
48,2022.0,1.0,28.0,9.0,55.0,40.0,9.3,14.0,8.0,8.7,2022-01-28 09:55:00
49,2022.0,1.0,28.0,9.0,35.0,70.0,6.2,14.0,8.0,8.7,2022-01-28 09:35:00
50,2022.0,1.0,28.0,9.0,15.0,60.0,6.7,14.0,7.0,8.7,2022-01-28 09:15:00
51,2022.0,1.0,28.0,8.0,55.0,60.0,5.7,14.0,7.0,8.7,2022-01-28 08:55:00
52,2022.0,1.0,28.0,8.0,35.0,50.0,6.2,15.0,7.0,8.7,2022-01-28 08:35:00
53,2022.0,1.0,28.0,8.0,15.0,70.0,5.1,15.0,7.0,8.7,2022-01-28 08:15:00
54,2022.0,1.0,28.0,7.0,55.0,70.0,7.7,15.0,7.0,8.7,2022-01-28 07:55:00
55,2022.0,1.0,28.0,7.0,35.0,70.0,5.7,15.0,7.0,8.7,2022-01-28 07:35:00
56,2022.0,1.0,28.0,7.0,15.0,70.0,5.7,15.0,7.0,8.7,2022-01-28 07:15:00
57,2022.0,1.0,28.0,6.0,55.0,70.0,7.2,15.0,7.0,8.7,2022-01-28 06:55:00
58,2022.0,1.0,28.0,6.0,35.0,70.0,6.7,15.0,6.0,8.7,2022-01-28 06:35:00
59,2022.0,1.0,28.0,6.0,15.0,70.0,5.1,15.0,6.0,8.7,2022-01-28 06:15:00
60,2022.0,1.0,28.0,5.0,55.0,80.0,6.2,15.0,7.0,8.7,2022-01-28 05:55:00
